event_id,sport_key,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,sportsbet,SportsBet,2026-03-31T21:31:44Z,h2h,Orlando Magic,1.8,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,sportsbet,SportsBet,2026-03-31T21:31:44Z,h2h,Phoenix Suns,2.06,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,sportsbet,SportsBet,2026-03-31T21:31:44Z,spreads,Orlando Magic,1.84,-1.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,sportsbet,SportsBet,2026-03-31T21:31:44Z,spreads,Phoenix Suns,1.96,1.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,ladbrokes_au,Ladbrokes,2026-03-31T21:31:18Z,h2h,Orlando Magic,1.78,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,ladbrokes_au,Ladbrokes,2026-03-31T21:31:18Z,h2h,Phoenix Suns,2.05,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,neds,Neds,2026-03-31T21:31:05Z,h2h,Orlando Magic,1.78,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,neds,Neds,2026-03-31T21:31:05Z,h2h,Phoenix Suns,2.05,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tab,TAB,2026-03-31T21:30:42Z,h2h,Orlando Magic,1.8,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tab,TAB,2026-03-31T21:30:42Z,h2h,Phoenix Suns,2.05,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tab,TAB,2026-03-31T21:30:42Z,spreads,Orlando Magic,1.9,-2.0,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tab,TAB,2026-03-31T21:30:42Z,spreads,Phoenix Suns,1.9,2.0,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betright,Bet Right,2026-03-31T21:31:45Z,h2h,Orlando Magic,1.8,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betright,Bet Right,2026-03-31T21:31:45Z,h2h,Phoenix Suns,2.02,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,pointsbetau,PointsBet (AU),2026-03-31T21:31:31Z,h2h,Orlando Magic,1.8,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,pointsbetau,PointsBet (AU),2026-03-31T21:31:31Z,h2h,Phoenix Suns,2.05,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,pointsbetau,PointsBet (AU),2026-03-31T21:31:31Z,spreads,Orlando Magic,1.95,-2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,pointsbetau,PointsBet (AU),2026-03-31T21:31:31Z,spreads,Phoenix Suns,1.87,2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betr_au,Betr,2026-03-31T21:30:40Z,h2h,Orlando Magic,1.8,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betr_au,Betr,2026-03-31T21:30:40Z,h2h,Phoenix Suns,2.05,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tabtouch,TABtouch,2026-03-31T21:31:05Z,h2h,Orlando Magic,1.74,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tabtouch,TABtouch,2026-03-31T21:31:05Z,h2h,Phoenix Suns,2.12,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tabtouch,TABtouch,2026-03-31T21:31:05Z,spreads,Orlando Magic,1.91,-2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,tabtouch,TABtouch,2026-03-31T21:31:05Z,spreads,Phoenix Suns,1.88,2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,unibet,Unibet,2026-03-31T21:31:45Z,h2h,Orlando Magic,1.73,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,unibet,Unibet,2026-03-31T21:31:45Z,h2h,Phoenix Suns,2.12,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,unibet,Unibet,2026-03-31T21:31:45Z,spreads,Orlando Magic,1.91,-2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,unibet,Unibet,2026-03-31T21:31:45Z,spreads,Phoenix Suns,1.91,2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,playup,PlayUp,2026-03-31T21:31:32Z,h2h,Orlando Magic,1.8,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,playup,PlayUp,2026-03-31T21:31:32Z,h2h,Phoenix Suns,2.05,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,playup,PlayUp,2026-03-31T21:31:32Z,spreads,Orlando Magic,1.95,-2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,playup,PlayUp,2026-03-31T21:31:32Z,spreads,Phoenix Suns,1.87,2.5,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betfair_ex_au,Betfair,2026-03-31T21:31:33Z,h2h,Orlando Magic,1.85,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betfair_ex_au,Betfair,2026-03-31T21:31:33Z,h2h,Phoenix Suns,2.14,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betfair_ex_au,Betfair,2026-03-31T21:31:33Z,h2h_lay,Orlando Magic,1.88,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,betfair_ex_au,Betfair,2026-03-31T21:31:33Z,h2h_lay,Phoenix Suns,2.18,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,dabble_au,Dabble AU,2026-03-31T21:31:32Z,h2h,Orlando Magic,1.8,,20260331_213155
8c95b58e16520c12308e0196b0c19198,basketball_nba,Orlando Magic,Phoenix Suns,2026-03-31T23:10:00Z,dabble_au,Dabble AU,2026-03-31T21:31:32Z,h2h,Phoenix Suns,2.08,,20260331_213155
