event_id,sport_key,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,sportsbet,SportsBet,2026-04-11T21:24:54Z,h2h,Atlanta Hawks,1.68,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,sportsbet,SportsBet,2026-04-11T21:24:54Z,h2h,Miami Heat,2.24,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,sportsbet,SportsBet,2026-04-11T21:24:54Z,spreads,Atlanta Hawks,1.95,-3.5,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,sportsbet,SportsBet,2026-04-11T21:24:54Z,spreads,Miami Heat,1.85,3.5,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,neds,Neds,2026-04-11T21:24:42Z,h2h,Atlanta Hawks,1.65,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,neds,Neds,2026-04-11T21:24:42Z,h2h,Miami Heat,2.25,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,ladbrokes_au,Ladbrokes,2026-04-11T21:24:31Z,h2h,Atlanta Hawks,1.65,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,ladbrokes_au,Ladbrokes,2026-04-11T21:24:31Z,h2h,Miami Heat,2.25,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,pointsbetau,PointsBet (AU),2026-04-11T21:24:31Z,spreads,Atlanta Hawks,1.9,-3.5,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,pointsbetau,PointsBet (AU),2026-04-11T21:24:31Z,spreads,Miami Heat,1.9,3.5,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,betright,Bet Right,2026-04-11T21:24:54Z,h2h,Atlanta Hawks,1.66,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,betright,Bet Right,2026-04-11T21:24:54Z,h2h,Miami Heat,2.22,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,tab,TAB,2026-04-11T21:24:31Z,h2h,Atlanta Hawks,1.56,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,tab,TAB,2026-04-11T21:24:31Z,h2h,Miami Heat,2.5,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,tab,TAB,2026-04-11T21:24:31Z,spreads,Atlanta Hawks,1.9,-5.0,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,tab,TAB,2026-04-11T21:24:31Z,spreads,Miami Heat,1.9,5.0,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,playup,PlayUp,2026-04-11T21:24:20Z,h2h,Atlanta Hawks,1.58,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,playup,PlayUp,2026-04-11T21:24:20Z,h2h,Miami Heat,2.4,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,playup,PlayUp,2026-04-11T21:24:20Z,spreads,Atlanta Hawks,1.85,-3.5,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,playup,PlayUp,2026-04-11T21:24:20Z,spreads,Miami Heat,1.93,3.5,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,betfair_ex_au,Betfair,2026-04-11T21:24:44Z,h2h,Atlanta Hawks,1.76,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,betfair_ex_au,Betfair,2026-04-11T21:24:44Z,h2h,Miami Heat,2.12,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,betfair_ex_au,Betfair,2026-04-11T21:24:44Z,h2h_lay,Atlanta Hawks,1.85,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,betfair_ex_au,Betfair,2026-04-11T21:24:44Z,h2h_lay,Miami Heat,2.3,,20260411_212503
22dcb3e32847c7eab5774e8927016216,basketball_nba,Miami Heat,Atlanta Hawks,2026-04-12T22:10:00Z,tabtouch,TABtouch,2026-04-11T21:24:42Z,h2h,Atlanta Hawks,1.64,,20260411_212503
