event_id,sport_key,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,ladbrokes_au,Ladbrokes,2026-05-23T21:44:39Z,h2h,Cleveland Cavaliers,1.67,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,ladbrokes_au,Ladbrokes,2026-05-23T21:44:39Z,h2h,New York Knicks,2.2,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,neds,Neds,2026-05-23T21:44:19Z,h2h,Cleveland Cavaliers,1.67,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,neds,Neds,2026-05-23T21:44:19Z,h2h,New York Knicks,2.2,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tab,TAB,2026-05-23T21:44:40Z,h2h,Cleveland Cavaliers,1.67,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tab,TAB,2026-05-23T21:44:40Z,h2h,New York Knicks,2.25,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tab,TAB,2026-05-23T21:44:40Z,spreads,Cleveland Cavaliers,1.9,-3.0,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tab,TAB,2026-05-23T21:44:40Z,spreads,New York Knicks,1.9,3.0,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,sportsbet,SportsBet,2026-05-23T21:44:59Z,h2h,Cleveland Cavaliers,1.69,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,sportsbet,SportsBet,2026-05-23T21:44:59Z,h2h,New York Knicks,2.22,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,sportsbet,SportsBet,2026-05-23T21:44:59Z,spreads,Cleveland Cavaliers,1.85,-2.5,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,sportsbet,SportsBet,2026-05-23T21:44:59Z,spreads,New York Knicks,1.94,2.5,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-23T21:45:00Z,h2h,Cleveland Cavaliers,1.69,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-23T21:45:00Z,h2h,New York Knicks,2.25,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-23T21:45:00Z,spreads,Cleveland Cavaliers,1.95,-3.5,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-23T21:45:00Z,spreads,New York Knicks,1.87,3.5,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tabtouch,TABtouch,2026-05-23T21:44:39Z,h2h,Cleveland Cavaliers,1.68,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tabtouch,TABtouch,2026-05-23T21:44:39Z,h2h,New York Knicks,2.2,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tabtouch,TABtouch,2026-05-23T21:44:39Z,spreads,Cleveland Cavaliers,1.93,-3.0,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,tabtouch,TABtouch,2026-05-23T21:44:39Z,spreads,New York Knicks,1.87,3.0,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,unibet,Unibet,2026-05-23T21:45:00Z,h2h,Cleveland Cavaliers,1.68,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,unibet,Unibet,2026-05-23T21:45:00Z,h2h,New York Knicks,2.2,,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,unibet,Unibet,2026-05-23T21:45:00Z,spreads,Cleveland Cavaliers,1.94,-3.0,20260523_214501
4247d31ac7706ebe455b8f221c9e4184,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-24T00:10:00Z,unibet,Unibet,2026-05-23T21:45:00Z,spreads,New York Knicks,1.88,3.0,20260523_214501
