event_id,sport_key,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,pointsbetau,PointsBet (AU),2026-04-23T21:38:08Z,h2h,Atlanta Hawks,1.95,,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,pointsbetau,PointsBet (AU),2026-04-23T21:38:08Z,h2h,New York Knicks,1.87,,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,pointsbetau,PointsBet (AU),2026-04-23T21:38:08Z,spreads,Atlanta Hawks,1.9,1.5,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,pointsbetau,PointsBet (AU),2026-04-23T21:38:08Z,spreads,New York Knicks,1.9,-1.5,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,sportsbet,SportsBet,2026-04-23T21:38:17Z,h2h,Atlanta Hawks,2.0,,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,sportsbet,SportsBet,2026-04-23T21:38:17Z,h2h,New York Knicks,1.85,,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,sportsbet,SportsBet,2026-04-23T21:38:17Z,spreads,Atlanta Hawks,1.96,0.5,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,sportsbet,SportsBet,2026-04-23T21:38:17Z,spreads,New York Knicks,1.84,-0.5,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,neds,Neds,2026-04-23T21:37:53Z,h2h,Atlanta Hawks,2.02,,20260423_213828
b2b129565e14b8782b318b699b05ab3b,basketball_nba,Atlanta Hawks,New York Knicks,2026-04-23T23:10:00Z,neds,Neds,2026-04-23T21:37:53Z,h2h,New York Knicks,1.8,,20260423_213828
