event_id,sport_key,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,sportsbet,SportsBet,2026-05-25T22:02:04Z,h2h,Cleveland Cavaliers,2.17,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,sportsbet,SportsBet,2026-05-25T22:02:04Z,h2h,New York Knicks,1.73,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,sportsbet,SportsBet,2026-05-25T22:02:04Z,spreads,Cleveland Cavaliers,1.92,2.5,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,sportsbet,SportsBet,2026-05-25T22:02:04Z,spreads,New York Knicks,1.88,-2.5,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-25T22:02:22Z,h2h,Cleveland Cavaliers,2.1,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-25T22:02:22Z,h2h,New York Knicks,1.77,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-25T22:02:22Z,spreads,Cleveland Cavaliers,1.95,1.5,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,pointsbetau,PointsBet (AU),2026-05-25T22:02:22Z,spreads,New York Knicks,1.87,-1.5,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,neds,Neds,2026-05-25T22:01:44Z,h2h,Cleveland Cavaliers,2.15,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,neds,Neds,2026-05-25T22:01:44Z,h2h,New York Knicks,1.7,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,ladbrokes_au,Ladbrokes,2026-05-25T22:01:44Z,h2h,Cleveland Cavaliers,2.15,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,ladbrokes_au,Ladbrokes,2026-05-25T22:01:44Z,h2h,New York Knicks,1.7,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,betr_au,Betr,2026-05-25T22:02:04Z,h2h,Cleveland Cavaliers,2.15,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,betr_au,Betr,2026-05-25T22:02:04Z,h2h,New York Knicks,1.73,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,betright,Bet Right,2026-05-25T22:01:45Z,h2h,Cleveland Cavaliers,2.12,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,betright,Bet Right,2026-05-25T22:01:45Z,h2h,New York Knicks,1.72,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,tabtouch,TABtouch,2026-05-25T22:02:04Z,h2h,Cleveland Cavaliers,2.17,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,tabtouch,TABtouch,2026-05-25T22:02:04Z,h2h,New York Knicks,1.71,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,tabtouch,TABtouch,2026-05-25T22:02:04Z,spreads,Cleveland Cavaliers,1.93,2.5,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,tabtouch,TABtouch,2026-05-25T22:02:04Z,spreads,New York Knicks,1.87,-2.5,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,unibet,Unibet,2026-05-25T22:02:04Z,h2h,Cleveland Cavaliers,2.17,,20260525_220240
a752ca36635e2ccb1bb5a9f387282e1c,basketball_nba,Cleveland Cavaliers,New York Knicks,2026-05-26T00:10:00Z,unibet,Unibet,2026-05-25T22:02:04Z,h2h,New York Knicks,1.71,,20260525_220240
