event_id,sport_key,home_team,away_team,commence_time,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,snapshot_utc
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,sportsbet,SportsBet,2026-05-17T21:45:29Z,h2h,Cleveland Cavaliers,2.55,,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,sportsbet,SportsBet,2026-05-17T21:45:29Z,h2h,Detroit Pistons,1.54,,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,sportsbet,SportsBet,2026-05-17T21:45:29Z,spreads,Cleveland Cavaliers,1.88,4.5,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,sportsbet,SportsBet,2026-05-17T21:45:29Z,spreads,Detroit Pistons,1.92,-4.5,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tab,TAB,2026-05-17T21:45:52Z,h2h,Cleveland Cavaliers,2.6,,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tab,TAB,2026-05-17T21:45:52Z,h2h,Detroit Pistons,1.52,,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tab,TAB,2026-05-17T21:45:52Z,spreads,Cleveland Cavaliers,1.9,4.5,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tab,TAB,2026-05-17T21:45:52Z,spreads,Detroit Pistons,1.9,-4.5,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tabtouch,TABtouch,2026-05-17T21:45:29Z,h2h,Cleveland Cavaliers,2.45,,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tabtouch,TABtouch,2026-05-17T21:45:29Z,h2h,Detroit Pistons,1.56,,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tabtouch,TABtouch,2026-05-17T21:45:29Z,spreads,Cleveland Cavaliers,1.93,4.0,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,tabtouch,TABtouch,2026-05-17T21:45:29Z,spreads,Detroit Pistons,1.87,-4.0,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,unibet,Unibet,2026-05-17T21:45:30Z,h2h,Cleveland Cavaliers,2.45,,20260517_214557
465746f51ad349641512f36c52306968,basketball_nba,Detroit Pistons,Cleveland Cavaliers,2026-05-18T00:10:00Z,unibet,Unibet,2026-05-17T21:45:30Z,h2h,Detroit Pistons,1.56,,20260517_214557
